Jed,Serving Size (g),Calories,Calories From Fat,Total Fat (g),% Daily Value**,Saturated Fat (g),% Daily Value**,Trans Fat (g),Cholesterol (mg),% Daily Value**,Sodium (mg),% Daily Value**,Carbohydrates (g),% Daily Value**,Dietary Fiber (g),% Daily Value**,Sugars (g),Protein (g),Vitamin A,Vitamin C,Calcium,Iron
BigMac,(211 g),530,240,27,42,10,48,1,85,28,960,40,47,16,3,13,9,24,6,2,25,25
Quarter Pounder with Cheese+,(199 g),520,240,26,40,12,62,1.5,95,32,1110,46,42,14,3,11,10,29,10,4,30,25
Bacon Clubhouse Burger,(267 g),720,360,40,61,15,75,1.5,120,39,1470,61,52,17,3,14,14,38,15,25,30,25
Quarter Pounder Bacon Habanero Ranch+,(233 g),610,280,31,48,13,64,1.5,110,37,1190,50,47,16,3,14,10,36,15,20,25,30
Quarter Pounder Bacon & Cheese +,(217 g),600,260,29,45,13,63,1,105,36,1380,58,48,16,3,13,12,36,8,15,25,30
Quarter Pounder Deluxe +,(238 g),540,250,27,42,11,54,1.5,85,29,940,39,45,15,3,14,9,28,15,8,25,25
Double Quarter Pounder with Cheese ++,(277 g),740,380,42,65,19,96,2.5,165,55,1300,54,43,14,3,11,10,47,10,4,30,35
Hamburger,(98 g),240,70,8,12,3,15,0,30,10,480,20,32,11,1,6,6,12,2,2,10,15
Cheeseburger,(113 g),290,100,11,18,5,27,0.5,45,15,680,28,33,11,2,7,7,15,6,2,20,15
BBQ Ranch Burger,(113 g),340,130,15,22,6,29,0.5,50,16,670,28,37,12,3,10,7,15,4,0,20,15
Grilled Onion Cheddar,(113 g),300,110,13,20,6,29,0.5,45,16,640,27,32,11,2,7,6,15,2,2,20,15
Double Cheeseburger,(161 g),430,190,21,32,10,52,1,90,30,1040,43,35,12,2,8,7,24,10,2,30,20
McDouble,(147 g),380,150,17,26,8,40,1,75,25,840,35,34,11,2,7,7,22,6,2,20,20
Jalapeno Double,(159 g),430,210,23,36,9,44,1,80,27,1030,43,35,12,2,7,6,22,6,8,20,20
Bacon McDouble,(161 g),440,200,22,34,10,49,1,90,30,1110,46,35,12,2,7,7,27,6,10,20,20
Daily Double,(190 g),430,200,22,35,9,44,1,80,27,760,32,34,11,2,8,7,22,8,8,20,20
Bacon Clubhouse Crispy Chicken Sandwich,(284 g),750,340,38,59,10,51,0.5,90,31,1720,72,65,22,4,15,16,36,15,25,30,15
Bacon Clubhouse Grilled Chicken Sandwich,(270 g),590,230,25,39,8,42,0,110,37,1560,65,51,17,4,15,14,40,15,30,30,15
Premium Crispy Chicken Classic Sandwich,(213 g),510,200,22,33,3.5,18,0,45,16,990,41,55,18,3,13,10,24,10,6,15,20
Premium Grilled Chicken Classic Sandwich,(200 g),350,80,9,13,2,9,0,65,22,820,34,42,14,3,12,8,28,10,8,15,20
Premium Crispy Chicken Club Sandwich,(249 g),670,300,33,51,9,44,0,85,29,1410,59,58,19,3,13,11,36,15,20,30,20
Premium Grilled Chicken Club Sandwich,(235 g),510,180,20,31,7,35,0,105,35,1250,52,44,15,3,13,9,40,15,20,30,20
Premium Crispy Chicken Ranch BLT Sandwich,(230 g),610,250,28,43,6,31,0,70,24,1400,58,57,19,3,13,11,32,10,20,15,20
Premium Grilled Chicken Ranch BLT Sandwich,(217 g),450,130,15,23,4.5,22,0,90,30,1230,51,43,14,3,12,9,36,10,20,15,20
McChicken,(143 g),360,140,16,25,3,15,0,35,11,800,33,40,13,2,7,5,14,0,2,10,15
Buffalo Ranch McChicken,(148 g),360,150,16,25,3,16,0,35,11,990,41,40,13,2,7,5,14,2,2,15,15
Bacon Buffalo Ranch McChicken,(161 g),430,190,21,32,5,25,0,50,17,1260,53,41,14,2,7,6,20,2,10,15,15
Bacon Cheddar McChicken,(171 g),480,220,24,38,7,35,0,65,21,1260,53,43,14,2,8,6,22,4,10,20,15
Southern Style Crispy Chicken Sandwich,(160 g),430,170,19,29,3,15,0,45,14,910,38,43,14,2,7,7,21,4,2,15,15
Filet-O-Fish,(142 g),390,170,19,29,4,19,0,40,14,590,24,39,13,2,7,5,15,2,0,15,10
McRib,(208 g),500,240,26,40,10,48,0,70,23,980,41,44,15,3,10,11,22,2,2,15,20
Premium McWrap Southwest Chicken (Crispy),(331 g),670,290,32,50,8,40,0.5,60,20,1470,61,68,23,5,20,12,27,60,15,20,20
Premium McWrap Southwest Chicken (Grilled),(317 g),510,170,19,30,6,31,0,80,26,1300,54,54,18,5,20,10,31,70,15,20,20
Premium McWrap Chicken & Bacon (Crispy),(316 g),630,280,32,49,9,45,0.5,80,26,1540,64,56,19,3,13,7,32,60,20,20,20
Premium McWrap Chicken & Bacon (Grilled),(302 g),480,170,19,28,7,36,0,95,32,1370,57,42,14,3,13,6,36,60,25,20,20
Premium McWrap Chicken & Ranch (Crispy),(310 g),610,280,31,47,8,40,0.5,65,21,1340,56,56,19,3,14,8,27,60,15,20,20
Premium McWrap Chicken & Ranch (Grilled),(297 g),450,160,18,27,6,31,0.5,80,27,1170,49,42,14,3,14,6,30,60,15,15,20
Premium McWrap Chicken Sweet Chili (Crispy),(304 g),540,200,23,35,4.5,23,0,50,16,1260,52,61,20,3,13,14,23,60,15,8,20
Premium McWrap Chicken Sweet Chili (Grilled),(291 g),380,90,10,15,3,14,0,65,22,1090,45,47,16,3,13,12,27,60,15,8,20
Chipotle BBQ Snack Wrap (Crispy),(130 g),340,130,15,23,4.5,22,0,30,11,780,33,37,12,1,6,8,14,4,0,10,10
Chipotle BBQ Snack Wrap (Grilled),(123 g),260,70,8,13,3.5,18,0,40,14,700,29,30,10,1,6,7,16,4,2,10,10
Honey Mustard Snack Wrap (Crispy),(126 g),340,140,16,25,4.5,23,0,35,11,750,31,34,11,2,6,5,14,2,0,10,10
Honey Mustard Snack Wrap (Grilled),(119 g),260,80,9,14,3.5,18,0,45,14,660,28,27,9,2,6,4,16,2,2,10,10
Ranch Snack Wrap (Crispy),(128 g),360,180,20,30,5,27,0,40,13,810,34,32,11,1,5,3,15,2,0,10,10
Ranch Snack Wrap (Grilled),(121 g),280,120,13,20,4.5,22,0,45,16,720,30,25,8,1,5,2,16,2,2,10,10
Mac Snack Wrap,(125 g),330,170,19,29,7,34,1,45,15,670,28,26,9,1,5,3,14,2,0,8,15
Chicken McNuggets (4 piece),(65 g),190,110,12,18,2,10,0,25,9,360,15,12,4,1,2,0,9,0,2,0,2
Bacon Clubhouse Grilled Chicken Sandwich,(270 g),590,230,25,39,8,42,0,110,37,1560,65,51,17,4,15,14,40,15,30,30,15
Premium Crispy Chicken Classic Sandwich,(213 g),510,200,22,33,3.5,18,0,45,16,990,41,55,18,3,13,10,24,10,6,15,20
Premium Grilled Chicken Classic Sandwich,(200 g),350,80,9,13,2,9,0,65,22,820,34,42,14,3,12,8,28,10,8,15,20
Premium Crispy Chicken Club Sandwich,(249 g),670,300,33,51,9,44,0,85,29,1410,59,58,19,3,13,11,36,15,20,30,20
Premium Grilled Chicken Club Sandwich,(235 g),510,180,20,31,7,35,0,105,35,1250,52,44,15,3,13,9,40,15,20,30,20
Premium Crispy Chicken Ranch BLT Sandwich,(230 g),610,250,28,43,6,31,0,70,24,1400,58,57,19,3,13,11,32,10,20,15,20
McChicken,(143 g),360,140,16,25,3,15,0,35,11,800,33,40,13,2,7,5,14,0,2,10,15
