JED;100% BEEF PATTY;SHREDDED LETTUCE;PASTEURIZED PROCESS AMERICAN CHEESE;PICKLE SLICES;REGULAR BUN;MCCHICKEN PATTY
BigMac;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE
Quarter Pounder with Cheese;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
Bacon Clubhouse Burger;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Quarter Pounder Bacon Habanero Ranch;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
Quarter Pounder Bacon & Cheese;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Quarter Pounder Deluxe;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
Double Quarter Pounder with Cheese;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE
Hamburger;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE
Cheeseburger;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE
BBQ Ranch Burger;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE
Grilled Onion Cheddar;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE
Double Cheeseburger;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE
McDouble;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE
Jalapeno Double;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
Bacon McDouble;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
Daily Double;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE
